employee_id,store_id,name,role,shift,hire_date,skill_factor
emp_00029,store_004,Aarav Harris,picker,morning,2024-07-28,0.886
emp_00030,store_017,Ravi Miller,picker,evening,2023-05-26,1.059
emp_00031,store_036,Chloe Miller,picker,morning,2023-01-27,1.295
emp_00032,store_038,Priya Carter,stager,morning,2022-09-24,1.151
emp_00033,store_024,Liam Davis,dispenser,evening,2022-05-27,1.091
emp_00034,store_043,Olivia Patel,picker,evening,2021-11-13,0.696
emp_00035,store_016,Olivia Anderson,dispenser,morning,2025-02-17,1.289
emp_00036,store_022,Olivia Walker,dispenser,evening,2025-02-14,0.957
emp_00037,store_016,Alex Wilson,picker,midday,2022-04-01,1.018
emp_00038,store_013,Sam Johnson,dispenser,midday,2025-08-08,0.926
emp_00039,store_015,Isaiah Wilson,picker,morning,2025-05-03,0.914
emp_00040,store_018,Taylor Jones,picker,evening,2024-01-04,0.864
emp_00041,store_022,Deja Nguyen,dispenser,midday,2021-03-20,1.318
emp_00042,store_007,Liam Smith,stager,midday,2023-06-13,1.281
emp_00043,store_039,Elena Garcia,dispenser,morning,2024-12-22,1.256
emp_00044,store_028,Elena Johnson,picker,midday,2021-05-24,1.228
emp_00045,store_043,Bianca Smith,dispenser,midday,2023-11-05,0.831
emp_00046,store_020,Kai Jones,stager,evening,2022-08-29,0.835
emp_00047,store_036,Deja Patel,picker,evening,2022-09-09,0.667
emp_00048,store_026,Aarav Gupta,picker,midday,2022-03-07,1.182
emp_00049,store_028,Ravi Lee,dispenser,evening,2022-03-14,0.889
emp_00050,store_033,Daniel Shah,picker,morning,2022-08-05,0.912
emp_00051,store_033,Grace Shah,stager,midday,2022-04-06,0.948
emp_00052,store_013,Alex Diaz,picker,midday,2024-06-05,0.952
emp_00053,store_050,Elena Singh,picker,evening,2023-02-26,0.806
emp_00054,store_032,Chloe Robinson,picker,evening,2021-01-12,1.115
emp_00055,store_049,Fatima Chen,dispenser,evening,2023-11-27,1.209
emp_00056,store_030,Grace Wilson,picker,morning,2023-07-24,0.817
emp_00057,store_009,Kai Thomas,dispenser,midday,2024-06-08,0.765
emp_00058,store_047,Priya Williams,dispenser,evening,2023-07-03,0.587
emp_00059,store_011,Grace Williams,stager,evening,2022-07-22,0.878
emp_00060,store_050,Sofia Robinson,dispenser,morning,2022-07-17,1.02
emp_00061,store_029,Kai Young,picker,evening,2021-06-15,0.972
emp_00062,store_009,Mia Singh,picker,morning,2024-12-17,1.124
emp_00063,store_014,Olivia Baker,picker,morning,2023-05-11,0.833
emp_00064,store_025,Aisha Wilson,dispenser,evening,2023-02-19,1.11
emp_00065,store_031,Olivia Miller,picker,evening,2025-02-13,0.84
emp_00066,store_035,Fatima Lopez,dispenser,morning,2022-07-13,1.215
emp_00067,store_028,Noah Smith,picker,morning,2023-08-16,0.818
emp_00068,store_009,Aisha Jones,dispenser,evening,2024-03-01,1.153
emp_00069,store_043,Sam Chen,picker,morning,2022-06-17,0.946
emp_00070,store_025,Sam Harris,picker,midday,2025-04-08,0.932
emp_00071,store_025,Anika Lopez,picker,morning,2025-03-15,1.16
emp_00072,store_035,Liam Diaz,picker,evening,2021-05-21,0.949
emp_00073,store_050,Grace Davis,dispenser,morning,2024-06-26,1.039
emp_00074,store_010,Sarah Shah,picker,morning,2024-03-01,1.01
emp_00075,store_014,Bianca Thomas,picker,morning,2022-09-30,0.994
emp_00076,store_007,Jordan Nguyen,stager,evening,2023-02-08,1.153
emp_00077,store_026,Grace Brown,dispenser,evening,2025-05-02,1.068
emp_00078,store_020,Bianca Walker,dispenser,evening,2025-05-22,1.203
emp_00079,store_003,Taylor Robinson,picker,midday,2021-01-26,0.861
emp_00080,store_027,Ben Kim,dispenser,midday,2024-07-25,1.067
emp_00081,store_030,Isaiah Patel,stager,evening,2025-05-06,0.761
emp_00082,store_031,Isaiah Harris,picker,morning,2021-06-27,1.103
emp_00083,store_018,Mia Harris,dispenser,morning,2023-10-10,1.007
emp_00084,store_021,Ethan Johnson,picker,midday,2022-11-29,1.179
emp_00085,store_018,Aarav Martinez,dispenser,morning,2021-06-25,0.961
emp_00086,store_016,Sofia Miller,stager,morning,2024-11-15,0.877
emp_00087,store_031,Anika Gupta,stager,morning,2023-04-09,0.717
emp_00088,store_045,Maya Lopez,picker,evening,2023-12-24,1.016
emp_00089,store_023,Sam Garcia,picker,midday,2022-05-30,0.996
emp_00090,store_015,Elena Harris,picker,morning,2025-03-02,0.857
emp_00091,store_035,Sarah Garcia,dispenser,evening,2024-04-22,0.962
emp_00092,store_049,Jalen Brown,picker,morning,2022-08-30,0.903
emp_00093,store_015,Carlos Garcia,picker,morning,2021-04-22,0.919
emp_00094,store_036,Carlos Robinson,picker,midday,2021-07-30,1.238
emp_00095,store_001,Deja Baker,stager,midday,2023-09-06,0.831
emp_00096,store_008,Noah Lopez,dispenser,morning,2024-03-27,1.033
emp_00097,store_041,Jordan Brooks,stager,morning,2021-08-31,1.169
emp_00098,store_036,Fatima Thomas,stager,evening,2023-02-19,1.238
emp_00099,store_029,Priya Gupta,dispenser,evening,2024-06-25,0.937
emp_00100,store_004,Ben Thomas,stager,morning,2024-07-05,1.204
emp_00101,store_014,Andre Chen,picker,morning,2023-04-17,1.103
emp_00102,store_029,Sarah Gupta,stager,morning,2022-04-20,1.058
emp_00103,store_019,Fatima Garcia,stager,evening,2024-04-22,0.949
emp_00104,store_043,Elena Kim,dispenser,morning,2024-01-21,0.832
emp_00105,store_015,Andre Baker,stager,morning,2025-06-12,1.251
emp_00106,store_020,Jalen Lee,stager,morning,2023-08-18,0.837
emp_00107,store_045,Sofia Lee,picker,morning,2024-05-09,0.896
emp_00108,store_003,Kai Patel,dispenser,midday,2021-02-22,1.073
emp_00109,store_006,Aisha Thomas,picker,evening,2025-08-10,0.855
emp_00110,store_018,Deja Lopez,stager,evening,2024-08-27,0.718
emp_00111,store_029,Sofia Brooks,dispenser,midday,2022-12-14,1.089
emp_00112,store_027,Ben Wilson,picker,morning,2022-11-07,1.193
emp_00113,store_027,Alex Lee,stager,morning,2022-10-07,0.908
emp_00114,store_017,Noah Wilson,picker,evening,2025-08-17,1.375
emp_00115,store_001,Elena Martinez,stager,midday,2024-06-29,0.841
emp_00116,store_049,Ravi Thomas,picker,morning,2022-02-21,0.956
emp_00117,store_018,Sofia Brown,picker,morning,2024-07-14,1.154
emp_00118,store_039,Daniel Gupta,dispenser,evening,2021-01-29,0.925
emp_00119,store_036,Bianca Lee,picker,morning,2024-08-19,1.049
emp_00120,store_010,Jalen Martinez,picker,evening,2022-07-14,1.303
emp_00121,store_027,Chloe Jones,dispenser,morning,2024-05-12,1.119
emp_00122,store_033,Carlos Wilson,stager,morning,2022-07-20,0.985
emp_00123,store_050,Taylor Garcia,dispenser,morning,2022-08-03,0.679
emp_00124,store_047,Sofia Wilson,picker,morning,2023-07-04,1.19
emp_00125,store_035,Mia Lee,picker,midday,2022-01-22,0.866
emp_00126,store_045,Mia Diaz,picker,midday,2021-03-31,1.236
emp_00127,store_021,Mia Shah,stager,evening,2021-11-08,0.919
emp_00128,store_032,Carlos Martinez,dispenser,evening,2022-11-11,0.719
emp_00129,store_007,Sam Anderson,dispenser,evening,2021-10-23,0.818
emp_00130,store_027,Chloe Brooks,dispenser,midday,2025-05-20,1.072
emp_00131,store_017,Layla Wilson,picker,evening,2023-12-29,0.918
emp_00132,store_025,Sofia Wilson,dispenser,evening,2021-03-15,0.783
emp_00133,store_040,Fatima Smith,picker,morning,2023-06-08,0.755
emp_00134,store_007,Ben Lee,stager,morning,2024-11-22,0.735
emp_00135,store_020,Jalen Johnson,dispenser,midday,2023-06-02,1.274
emp_00136,store_010,Olivia Nguyen,picker,evening,2025-06-12,1.081
emp_00137,store_012,Grace Lopez,picker,evening,2021-10-21,1.285
emp_00138,store_015,Hannah Lee,picker,midday,2024-09-27,1.154
emp_00139,store_001,Daniel Brooks,dispenser,midday,2022-12-09,0.871
emp_00140,store_038,Priya Singh,picker,midday,2023-07-25,1.029
emp_00141,store_020,Grace Jones,picker,evening,2023-01-06,0.862
emp_00142,store_037,Jalen Anderson,picker,evening,2023-03-22,1.122
emp_00143,store_018,Amara Patel,picker,evening,2023-10-15,1.184
emp_00144,store_019,Fatima Patel,dispenser,midday,2022-03-25,0.792
emp_00145,store_041,Carlos Robinson,picker,morning,2024-07-09,0.999
emp_00146,store_042,Ravi Baker,picker,evening,2023-01-18,1.269
emp_00147,store_047,Olivia Chen,picker,morning,2021-09-28,1.12
emp_00148,store_035,Maya Martinez,dispenser,evening,2022-07-13,0.923
emp_00149,store_011,Jalen Smith,picker,midday,2025-07-06,1.083
emp_00150,store_008,Andre Carter,picker,morning,2024-10-17,0.836
emp_00151,store_047,Maya Brooks,stager,midday,2021-01-29,0.753
emp_00152,store_017,Sam Johnson,picker,evening,2025-03-14,1.186
emp_00153,store_044,Maya Brown,picker,evening,2022-04-24,0.833
emp_00154,store_031,Kai Patel,picker,morning,2024-08-19,1.155
emp_00155,store_005,Olivia Brown,stager,morning,2021-04-03,0.758
emp_00156,store_003,Sofia Brown,picker,morning,2022-04-26,1.055
emp_00157,store_035,Olivia Nguyen,picker,evening,2025-01-28,0.772
emp_00158,store_010,Ben Williams,dispenser,midday,2024-06-14,1.068
emp_00159,store_027,Ethan Lee,dispenser,midday,2022-04-29,0.954
emp_00160,store_024,Maya Miller,picker,evening,2023-01-05,1.241
emp_00161,store_004,Sam Brooks,picker,evening,2022-03-11,1.03
emp_00162,store_042,Aisha Baker,stager,midday,2022-05-14,1.076
emp_00163,store_009,Ethan Nguyen,dispenser,morning,2025-07-24,1.084
emp_00164,store_015,Chloe Walker,picker,evening,2021-01-06,1.289
emp_00165,store_018,Hannah Walker,dispenser,morning,2021-08-14,1.052
emp_00166,store_043,Carlos Anderson,dispenser,midday,2025-06-06,1.067
emp_00167,store_016,Carlos Smith,stager,midday,2023-12-14,1.125
emp_00168,store_008,Sarah Lee,stager,midday,2023-11-18,1.012
emp_00169,store_038,Alex Smith,picker,evening,2023-12-04,0.614
emp_00170,store_020,Aisha Baker,picker,midday,2023-04-03,0.991
emp_00171,store_028,Andre Young,stager,morning,2022-10-22,0.65
emp_00172,store_039,Carlos Garcia,picker,evening,2024-07-20,1.021
emp_00173,store_038,Zoe Gupta,picker,midday,2023-11-02,0.765
emp_00174,store_039,Bianca Wilson,picker,evening,2024-08-26,1.42
emp_00175,store_050,Fatima Kim,stager,midday,2025-08-22,1.113
emp_00176,store_030,Ben Harris,picker,midday,2022-10-03,0.873
emp_00177,store_043,Sarah Brooks,picker,morning,2021-06-24,1.234
emp_00178,store_006,Maya Walker,picker,morning,2024-02-14,0.93
emp_00179,store_004,Bianca Kim,stager,midday,2024-09-24,0.867
emp_00180,store_049,Amara Gupta,picker,evening,2022-10-02,0.946
emp_00181,store_023,Sarah Diaz,picker,morning,2022-12-19,0.907
emp_00182,store_036,Isaiah Nguyen,picker,morning,2025-07-12,0.996
emp_00183,store_028,Aisha Patel,dispenser,evening,2025-08-26,1.292
emp_00184,store_045,Deja Garcia,picker,evening,2025-04-11,0.953
emp_00185,store_020,Chloe Nguyen,dispenser,evening,2023-04-01,0.94
emp_00186,store_005,Aisha Brooks,picker,evening,2023-12-23,1.082
emp_00187,store_014,Jordan Smith,picker,midday,2025-05-10,0.91
emp_00188,store_037,Amara Carter,stager,morning,2025-03-26,1.027
emp_00189,store_040,Priya Lopez,picker,evening,2023-06-25,1.151
emp_00190,store_027,Taylor Brown,picker,midday,2023-05-31,1.085
emp_00191,store_008,Jordan Baker,picker,morning,2023-03-21,0.92
emp_00192,store_039,Ethan Gupta,picker,morning,2025-04-21,0.834
emp_00193,store_009,Sofia Smith,stager,midday,2021-12-26,0.98
emp_00194,store_009,Fatima Martinez,picker,evening,2024-09-30,1.078
emp_00195,store_023,Aisha Lee,picker,morning,2022-10-04,1.03
emp_00196,store_037,Noah Singh,picker,evening,2023-05-06,0.964
emp_00197,store_019,Sam Williams,picker,evening,2023-01-12,1.141
emp_00198,store_006,Ben Diaz,picker,midday,2024-04-21,1.019
emp_00199,store_026,Layla Diaz,picker,midday,2025-05-15,0.891
emp_00200,store_011,Bianca Martinez,picker,evening,2022-02-02,1.084
emp_00201,store_050,Chloe Diaz,picker,morning,2021-10-27,0.958
emp_00202,store_017,Chloe Thomas,picker,evening,2021-06-04,0.707
emp_00203,store_012,Ravi Shah,dispenser,evening,2024-08-09,0.876
emp_00204,store_041,Kai Wilson,dispenser,evening,2022-10-10,0.871
emp_00205,store_010,Isaiah Nguyen,picker,morning,2022-12-22,0.778
emp_00206,store_033,Sam Lee,picker,morning,2021-04-27,1.044
emp_00207,store_024,Anika Patel,dispenser,evening,2023-11-05,1.283
emp_00208,store_025,Alex Lee,picker,evening,2024-08-27,1.148
emp_00209,store_013,Amara Lee,picker,morning,2025-07-19,0.91
emp_00210,store_022,Anika Martinez,dispenser,evening,2021-12-20,1.014
emp_00211,store_003,Zoe Patel,picker,morning,2023-01-16,0.841
emp_00212,store_024,Mia Kim,dispenser,midday,2024-10-22,1.066
emp_00213,store_039,Layla Brown,picker,evening,2024-10-21,0.902
emp_00214,store_025,Chloe Harris,picker,morning,2024-04-08,0.894
emp_00215,store_043,Noah Carter,picker,evening,2024-12-22,0.754
emp_00216,store_006,Mia Robinson,picker,midday,2025-07-24,1.339
emp_00217,store_009,Zoe Brooks,stager,evening,2024-10-05,1.125
emp_00218,store_028,Aisha Johnson,picker,midday,2022-01-05,0.769
emp_00219,store_014,Carlos Carter,picker,morning,2022-08-29,1.011
emp_00220,store_007,Zoe Baker,picker,evening,2022-11-21,0.896
emp_00221,store_050,Deja Williams,stager,evening,2025-04-29,0.924
emp_00222,store_040,Daniel Smith,dispenser,midday,2021-03-31,0.947
emp_00223,store_027,Jalen Thomas,picker,evening,2025-05-25,0.92
emp_00224,store_029,Grace Gupta,picker,midday,2022-02-02,0.585
emp_00225,store_024,Jalen Thomas,stager,midday,2023-10-27,0.844
emp_00226,store_034,Daniel Williams,picker,morning,2025-06-29,0.926
emp_00227,store_039,Maya Miller,picker,morning,2024-12-27,1.0
emp_00228,store_034,Jalen Brooks,dispenser,morning,2022-07-13,1.229
emp_00229,store_029,Fatima Williams,dispenser,midday,2022-12-17,1.103
emp_00230,store_002,Noah Martinez,picker,midday,2022-04-28,1.137
emp_00231,store_025,Ben Williams,dispenser,evening,2024-08-24,0.973
emp_00232,store_022,Carlos Baker,dispenser,midday,2025-08-27,1.027
emp_00233,store_031,Ravi Patel,stager,morning,2021-06-12,1.161
emp_00234,store_002,Chloe Miller,picker,evening,2024-05-31,1.192
emp_00235,store_034,Bianca Baker,picker,morning,2023-05-10,1.019
emp_00236,store_041,Sam Brooks,dispenser,morning,2023-10-21,0.884
emp_00237,store_039,Chloe Gupta,picker,midday,2021-01-04,0.859
emp_00238,store_040,Olivia Chen,picker,evening,2024-09-30,0.846
emp_00239,store_006,Taylor Walker,picker,evening,2024-02-09,0.746
emp_00240,store_002,Sarah Baker,picker,evening,2023-03-04,1.304
emp_00241,store_024,Liam Diaz,picker,evening,2024-09-07,1.281
emp_00242,store_041,Layla Carter,picker,morning,2022-12-23,1.029
emp_00243,store_035,Sam Singh,picker,midday,2024-07-17,0.812
emp_00244,store_012,Andre Singh,dispenser,midday,2021-03-17,0.764
emp_00245,store_019,Kai Gupta,picker,evening,2023-03-27,1.085
emp_00246,store_035,Alex Thomas,picker,evening,2022-01-27,0.678
emp_00247,store_019,Layla Garcia,picker,morning,2025-06-26,1.062
emp_00248,store_024,Noah Smith,picker,midday,2023-03-03,0.685
emp_00249,store_022,Zoe Garcia,dispenser,morning,2025-01-29,0.812
emp_00250,store_028,Deja Miller,picker,midday,2022-10-20,1.004
emp_00251,store_007,Priya Chen,picker,evening,2023-06-29,0.927
emp_00252,store_023,Liam Patel,picker,midday,2022-07-17,0.884
emp_00253,store_041,Noah Johnson,dispenser,evening,2025-06-29,1.06
emp_00254,store_048,Aisha Carter,stager,evening,2024-10-20,0.98
emp_00255,store_029,Maya Johnson,picker,midday,2024-03-07,1.253
emp_00256,store_003,Ravi Johnson,stager,midday,2023-06-29,1.114
emp_00257,store_049,Kai Robinson,picker,midday,2022-05-27,1.099
emp_00258,store_008,Deja Lopez,picker,evening,2023-03-04,1.116
emp_00259,store_036,Ethan Patel,picker,midday,2024-11-22,1.039
emp_00260,store_032,Carlos Wilson,picker,morning,2023-07-15,0.753
emp_00261,store_012,Kai Shah,dispenser,midday,2024-12-24,0.935
emp_00262,store_005,Jalen Young,picker,midday,2021-11-19,1.023
emp_00263,store_046,Maya Martinez,stager,morning,2021-09-06,0.97
emp_00264,store_013,Grace Walker,dispenser,midday,2021-02-23,0.906
emp_00265,store_024,Carlos Patel,stager,morning,2021-05-15,0.804
emp_00266,store_020,Sarah Martinez,picker,midday,2025-04-25,1.212
emp_00267,store_027,Andre Lee,dispenser,midday,2024-10-24,1.383
emp_00268,store_034,Deja Thomas,picker,morning,2023-06-06,1.192
emp_00269,store_033,Chloe Gupta,dispenser,morning,2021-11-28,1.077
emp_00270,store_021,Fatima Johnson,dispenser,evening,2022-08-05,1.028
emp_00271,store_006,Carlos Robinson,picker,midday,2024-06-12,0.866
emp_00272,store_035,Daniel Nguyen,picker,evening,2021-11-12,0.848
emp_00273,store_011,Alex Williams,stager,morning,2021-06-16,0.96
emp_00274,store_003,Hannah Robinson,dispenser,morning,2025-04-20,0.786
emp_00275,store_037,Jalen Robinson,picker,midday,2023-09-17,0.879
emp_00276,store_016,Noah Gupta,dispenser,midday,2021-05-30,0.856
emp_00277,store_045,Ethan Harris,picker,evening,2021-10-22,0.829
emp_00278,store_021,Kai Smith,dispenser,midday,2023-03-28,1.068
emp_00279,store_009,Grace Lee,stager,morning,2022-07-02,0.925
emp_00280,store_029,Ben Baker,picker,midday,2023-02-26,0.993
emp_00281,store_040,Kai Nguyen,picker,evening,2022-10-03,1.336
emp_00282,store_013,Sofia Martinez,stager,midday,2023-10-19,0.92
emp_00283,store_020,Sam Diaz,picker,morning,2024-04-09,1.135
emp_00284,store_023,Jalen Lopez,picker,evening,2024-09-01,1.086
emp_00285,store_044,Priya Carter,picker,midday,2025-01-29,0.698
emp_00286,store_024,Maya Baker,stager,midday,2021-04-15,0.929
emp_00287,store_037,Mia Martinez,stager,midday,2025-04-15,0.914
emp_00288,store_036,Bianca Carter,picker,morning,2023-03-18,1.1
emp_00289,store_024,Chloe Davis,dispenser,evening,2023-11-09,0.799
emp_00290,store_026,Alex Baker,picker,morning,2025-01-01,1.321
emp_00291,store_022,Taylor Carter,dispenser,midday,2024-06-09,0.91
emp_00292,store_021,Jordan Nguyen,picker,midday,2023-11-05,0.989
emp_00293,store_033,Aisha Johnson,picker,midday,2024-10-11,0.965
emp_00294,store_008,Jordan Walker,dispenser,evening,2024-11-10,0.869
emp_00295,store_041,Fatima Smith,picker,morning,2024-04-10,0.587
emp_00296,store_031,Mia Carter,picker,evening,2022-05-12,1.066
emp_00297,store_003,Ravi Harris,stager,midday,2021-11-07,0.968
emp_00298,store_027,Olivia Martinez,stager,evening,2023-08-24,0.901
emp_00299,store_048,Kai Shah,stager,midday,2023-12-13,0.947
emp_00300,store_025,Deja Lee,picker,evening,2022-12-03,0.814
emp_00301,store_035,Hannah Patel,picker,midday,2022-01-29,1.035
emp_00302,store_016,Jordan Diaz,picker,midday,2025-04-29,0.747
emp_00303,store_019,Sarah Johnson,stager,evening,2025-06-17,0.932
emp_00304,store_047,Bianca Nguyen,picker,evening,2024-01-18,0.828
emp_00305,store_025,Chloe Gupta,dispenser,morning,2022-08-13,0.884
emp_00306,store_046,Ravi Robinson,picker,midday,2025-03-11,1.091
emp_00307,store_031,Isaiah Carter,picker,morning,2024-06-14,1.06
emp_00308,store_048,Grace Baker,stager,evening,2023-12-24,0.888
emp_00309,store_015,Sarah Brown,stager,evening,2025-04-28,1.156
emp_00310,store_009,Daniel Kim,picker,evening,2023-09-02,1.054
emp_00311,store_031,Jalen Robinson,stager,morning,2025-04-24,1.005
emp_00312,store_006,Fatima Miller,stager,evening,2025-01-20,0.868
emp_00313,store_003,Deja Baker,dispenser,midday,2025-06-02,1.15
emp_00314,store_032,Jalen Young,picker,morning,2021-01-19,1.295
emp_00315,store_020,Jalen Lee,stager,evening,2024-01-18,1.357
emp_00316,store_034,Carlos Wilson,picker,evening,2023-08-17,1.285
emp_00317,store_018,Sam Robinson,picker,midday,2025-01-11,1.072
emp_00318,store_012,Layla Walker,picker,midday,2024-03-08,1.062
emp_00319,store_044,Noah Williams,stager,midday,2023-11-22,1.142
emp_00320,store_021,Ben Chen,picker,morning,2023-09-05,1.281
emp_00321,store_021,Ravi Thomas,dispenser,midday,2022-11-07,1.157
emp_00322,store_020,Aarav Garcia,stager,evening,2023-01-07,1.007
emp_00323,store_045,Daniel Jones,picker,evening,2023-10-27,0.912
emp_00324,store_046,Bianca Robinson,stager,midday,2023-01-23,0.844
emp_00325,store_040,Sam Smith,picker,evening,2023-02-05,1.176
emp_00326,store_027,Sarah Thomas,stager,evening,2025-07-01,0.952
emp_00327,store_043,Anika Martinez,dispenser,midday,2023-12-18,1.018
emp_00328,store_046,Bianca Baker,picker,evening,2023-11-02,0.759
emp_00329,store_013,Zoe Lee,stager,morning,2024-10-25,1.084
emp_00330,store_014,Sofia Brooks,stager,evening,2023-07-02,1.115
emp_00331,store_004,Amara Miller,picker,midday,2024-10-09,0.824
emp_00332,store_020,Noah Garcia,stager,morning,2025-03-08,0.985
emp_00333,store_014,Andre Miller,stager,morning,2021-05-22,1.141
emp_00334,store_031,Olivia Chen,picker,morning,2025-04-18,1.041
emp_00335,store_042,Mia Lee,dispenser,midday,2023-02-09,0.898
emp_00336,store_006,Carlos Robinson,stager,midday,2021-08-31,0.867
emp_00337,store_012,Fatima Williams,dispenser,morning,2025-03-29,0.935
emp_00338,store_002,Sam Shah,dispenser,evening,2024-01-21,1.052
emp_00339,store_028,Liam Carter,picker,midday,2022-01-22,1.054
emp_00340,store_047,Alex Walker,stager,evening,2023-05-09,0.892
emp_00341,store_040,Ethan Brooks,stager,morning,2024-05-01,1.021
emp_00342,store_003,Amara Diaz,picker,evening,2021-04-01,0.981
emp_00343,store_026,Amara Carter,picker,evening,2022-08-16,0.74
emp_00344,store_015,Kai Nguyen,dispenser,evening,2025-05-02,0.934
emp_00345,store_044,Zoe Diaz,dispenser,midday,2022-09-08,1.027
emp_00346,store_018,Deja Robinson,picker,evening,2023-05-25,1.326
emp_00347,store_036,Mia Walker,picker,evening,2022-10-15,1.376
emp_00348,store_045,Chloe Gupta,picker,midday,2022-01-12,0.934
emp_00349,store_049,Chloe Walker,picker,midday,2021-04-29,1.006
emp_00350,store_036,Olivia Miller,picker,evening,2021-10-02,1.114
emp_00351,store_025,Ravi Wilson,picker,midday,2021-07-09,1.067
emp_00352,store_035,Elena Baker,stager,midday,2023-02-12,1.221
emp_00353,store_044,Ethan Lopez,stager,morning,2022-11-13,1.06
emp_00354,store_020,Aarav Davis,dispenser,morning,2025-02-27,1.015
emp_00355,store_008,Ethan Jones,stager,morning,2024-02-05,1.01
emp_00356,store_021,Mia Lee,dispenser,evening,2024-08-21,0.645
emp_00357,store_023,Sam Brown,picker,evening,2023-08-20,0.789
emp_00358,store_049,Ethan Johnson,dispenser,midday,2023-04-28,1.256
emp_00359,store_003,Hannah Miller,stager,evening,2024-04-01,1.016
emp_00360,store_047,Chloe Davis,picker,midday,2022-04-17,1.088
emp_00361,store_025,Layla Garcia,stager,midday,2025-01-21,1.005
emp_00362,store_042,Sam Chen,stager,evening,2025-06-17,1.202
emp_00363,store_023,Amara Martinez,picker,morning,2021-06-02,0.966
emp_00364,store_043,Aarav Kim,picker,morning,2024-07-15,0.818
emp_00365,store_015,Sam Johnson,picker,morning,2024-06-19,1.065
emp_00366,store_041,Sarah Shah,stager,midday,2021-02-02,1.091
emp_00367,store_001,Isaiah Miller,picker,midday,2021-02-05,0.975
emp_00368,store_033,Priya Walker,dispenser,morning,2021-08-08,1.016
emp_00369,store_007,Hannah Williams,picker,midday,2022-07-02,1.013
emp_00370,store_026,Noah Lee,picker,evening,2022-05-14,1.222
emp_00371,store_045,Alex Brooks,picker,midday,2023-02-16,0.875
emp_00372,store_025,Amara Robinson,stager,morning,2024-12-10,0.716
emp_00373,store_011,Layla Nguyen,picker,morning,2023-12-18,1.13
emp_00374,store_003,Sarah Garcia,picker,morning,2021-06-02,0.81
emp_00375,store_044,Alex Chen,dispenser,midday,2021-02-02,1.166
emp_00376,store_014,Noah Brooks,stager,midday,2021-11-29,0.878
emp_00377,store_037,Layla Jones,picker,evening,2021-10-14,1.081
emp_00378,store_045,Taylor Smith,stager,midday,2021-04-20,0.863
emp_00379,store_007,Noah Thomas,picker,midday,2021-03-02,1.077
emp_00380,store_041,Ravi Lopez,picker,morning,2022-12-30,0.876
emp_00381,store_036,Mia Brooks,dispenser,evening,2022-08-28,0.78
emp_00382,store_016,Anika Garcia,stager,morning,2023-02-18,1.1
emp_00383,store_046,Maya Brown,dispenser,morning,2021-01-11,1.09
emp_00384,store_020,Isaiah Brown,picker,morning,2021-06-28,1.131
emp_00385,store_012,Ben Anderson,picker,morning,2022-12-26,0.82
emp_00386,store_036,Kai Wilson,picker,midday,2021-01-26,0.933
emp_00387,store_019,Grace Nguyen,picker,evening,2021-12-14,1.047
emp_00388,store_044,Carlos Garcia,picker,midday,2022-07-04,0.747
emp_00389,store_032,Jordan Lopez,picker,morning,2023-01-10,1.064
emp_00390,store_017,Sofia Patel,dispenser,evening,2022-02-05,1.112
emp_00391,store_030,Layla Williams,picker,evening,2023-02-18,0.869
emp_00392,store_022,Priya Williams,picker,evening,2024-05-02,1.367
